name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
Smart Serve Online Training Course,"Pump up your resume!  Begin your Smart Serve course at a discount!  Must be 18 years old to serve in Ontario so best suited for grades 11 and 12. Please note you must finish the online course on your own time, outside of school, within 30 days and you will need a webcam to show proper identification for the final evaluation.  Cost: $10  Payment is due to Mrs. Langford in Room 105 by Friday, October 28th!  Late payments cannot be accepted as course tokens must be pre-purchased.",0,,1,,Tracie Langford,,0,Room 101,25,2
Smart Serve Online Training Course,"Pump up your resume!  Begin your Smart Serve course at a discount!  Must be 18 years old to serve in Ontario so best suited for grades 11 and 12. Please note you must finish the online course on your own time, outside of school, within 30 days and you will need a webcam to show proper identification for the final evaluation.  Cost: $10  Payment is due to Mrs. Langford in Room 105 by Friday, October 28th!  Late payments cannot be accepted as course tokens must be pre-purchased.",0,,2,,Tracie Langford,,0,Room 101,25,2
Smart Serve Online Training Course,"Pump up your resume!  Begin your Smart Serve course at a discount!  Must be 18 years old to serve in Ontario so best suited for grades 11 and 12. Please note you must finish the online course on your own time, outside of school, within 30 days and you will need a webcam to show proper identification for the final evaluation.  Cost: $10  Payment is due to Mrs. Langford in Room 105 by Friday, October 28th!  Late payments cannot be accepted as course tokens must be pre-purchased.",0,,3,,Tracie Langford,,0,Room 101,25,2
Spinning,Get a great workout on the spin bikes and have fun while doing it!  Come prepared to sweat and feel great afterwards!   Wear your workout clothes with running shoes and bring lots of water.,0,,1,,,,Marybeth Makhoul & Jen Stewart,Spin Room,20,2
Spinning,Get a great workout on the spin bikes and have fun while doing it!  Come prepared to sweat and feel great afterwards!   Wear your workout clothes with running shoes and bring lots of water.,0,,2,,,,Marybeth Makhoul & Jen Stewart,Spin Room,20,2
Standard First Aid/CPR                   **SHSM students only**,"If you are registered as a SHSM student (Specialist High Skills Major), then you will need to complete your Standard First Aid and CPR-C certifications.  This training will take place over TWO full days (Nov. 1st and 2nd).  Ms Dickson Rothwell will be in touch with you.",0,,1,"1,2,3",CDR,,SajeVitalSigns,Portable?,20,2
Study Hall,Feeling behind in your schoolwork?  Need some quiet time to get caught up in a supervised environment...choose this session.  One session only per student.  Bring your own device if required.,0,,1,,,,0,Room 112,30,2
Study Hall,Feeling behind in your schoolwork?  Need some quiet time to get caught up in a supervised environment...choose this session.  One session only per student.  Bring your own device if required.,0,,2,,,,0,Room 112,30,2
Study Hall,Feeling behind in your schoolwork?  Need some quiet time to get caught up in a supervised environment...choose this session.  One session only per student.  Bring your own device if required.,0,,3,,,,0,Room 112,30,2
Tabata ~ Workout Circuit,"Tabata is a high intensity interval workout.  Join Ms. Thomson as she leads you through a series of exercises that are accessible for all fitness levels.  Wear gym clothes and running shoes, bring a water bottle and come prepared to participate!",0,,3,,,,Ashley Thomson,Big Gym,25,2
The Learning Partnership - Entrepreneurial Adventure Program,Interested in finding out more information on two student programs run in Ottawa- the Entrepreneurial Adventure and Global Solutions?  Find out about the career app Real Talk created by The Learning Partnership.  Learn about non-profit organizations and what kinds of careers they offer.,0,,1,,Jen Stewart,,Betty Weil,Room 218,30,2
The Learning Partnership - Entrepreneurial Adventure Program,Interested in finding out more information on two student programs run in Ottawa- the Entrepreneurial Adventure and Global Solutions?  Find out about the career app Real Talk created by The Learning Partnership.  Learn about non-profit organizations and what kinds of careers they offer.,0,,2,,Jen Stewart,,Betty Weil,Room 218,30,2
